Frame,Timestamp (s),Diferença Máxima
0,0.033,91.00
1,0.067,53.00
2,0.100,42.00
3,0.133,43.00
4,0.167,49.00
5,0.200,64.00
6,0.233,79.00
7,0.267,100.00
8,0.300,73.00
9,0.333,65.00
10,0.366,59.00
11,0.400,72.00
12,0.433,42.00
13,0.466,30.00
14,0.500,41.00
15,0.533,41.00
16,0.566,60.00
17,0.600,53.00
18,0.633,49.00
19,0.666,90.00
20,0.700,79.00
21,0.733,35.00
22,0.766,36.00
23,0.800,28.00
24,0.833,51.00
25,0.866,82.00
26,0.900,99.00
27,0.933,59.00
28,0.966,73.00
29,1.000,30.00
30,1.033,53.00
31,1.066,52.00
32,1.100,27.00
33,1.133,56.00
34,1.166,92.00
35,1.200,80.00
36,1.233,69.00
37,1.266,80.00
38,1.300,48.00
39,1.333,62.00
40,1.366,82.00
41,1.400,64.00
42,1.433,44.00
43,1.466,43.00
44,1.500,33.00
45,1.533,64.00
46,1.566,72.00
47,1.600,75.00
48,1.633,88.00
49,1.666,74.00
50,1.699,28.00
51,1.733,62.00
52,1.766,63.00
53,1.799,66.00
54,1.833,30.00
55,1.866,60.00
56,1.899,49.00
57,1.933,89.00
58,1.966,32.00
59,1.999,44.00
60,2.033,50.00
61,2.066,104.00
62,2.099,111.00
63,2.133,103.00
64,2.166,122.00
65,2.199,95.00
66,2.233,98.00
67,2.266,96.00
68,2.299,123.00
69,2.333,103.00
70,2.366,134.00
71,2.399,106.00
72,2.433,152.00
73,2.466,66.00
74,2.499,54.00
75,2.533,105.00
76,2.566,121.00
77,2.599,127.00
78,2.633,133.00
79,2.666,100.00
80,2.699,96.00
81,2.733,119.00
82,2.766,100.00
83,2.799,44.00
84,2.833,113.00
85,2.866,101.00
86,2.899,141.00
87,2.933,135.00
88,2.966,155.00
89,2.999,106.00
90,3.032,123.00
91,3.066,77.00
92,3.099,84.00
93,3.132,123.00
94,3.166,129.00
95,3.199,74.00
96,3.232,49.00
97,3.266,91.00
98,3.299,77.00
99,3.332,99.00
100,3.366,73.00
101,3.399,99.00
102,3.432,123.00
103,3.466,56.00
104,3.499,61.00
105,3.532,42.00
106,3.566,37.00
107,3.599,46.00
108,3.632,72.00
109,3.666,39.00
110,3.699,73.00
111,3.732,68.00
112,3.766,84.00
113,3.799,48.00
114,3.832,67.00
115,3.866,41.00
116,3.899,53.00
117,3.932,23.00
118,3.966,52.00
119,3.999,59.00
120,4.032,46.00
121,4.066,84.00
122,4.099,65.00
