frame_number,timestamp_ms,max_flow_magnitude
1,33.324446814182885,13.586947
2,66.64889362836577,3.745459
3,99.97334044254865,29.175581
4,133.29778725673154,11.927337
5,166.62223407091443,5.608374
6,199.9466808850973,1.5446893
7,233.27112769928019,1.7600285
8,266.5955745134631,2.046086
9,299.92002132764594,0.72089803
10,333.24446814182886,1.740803
11,366.5689149560117,2.805697
12,399.8933617701946,1.8263627
13,433.21780858437745,51.636593
14,466.54225539856037,21.232126
15,499.8667022127433,8.875114
16,533.1911490269262,4.0409136
17,566.515595841109,1.9559361
18,599.8400426552919,2.153055
19,633.1644894694748,1.6768523
20,666.4889362836577,3.2566445
21,699.8133830978405,2.082402
22,733.1378299120234,2.0897086
23,766.4622767262064,53.697678
24,799.7867235403892,18.76553
25,833.1111703545721,6.0642824
26,866.4356171687549,3.4997396
27,899.7600639829378,2.160801
28,933.0845107971207,2.3837044
29,966.4089576113037,2.5568833
30,999.7334044254866,2.5546532
31,1033.0578512396694,2.9713037
32,1066.3822980538523,2.326248
33,1099.706744868035,2.023932
34,1133.031191682218,2.0543804
35,1166.3556384964008,1.1924171
36,1199.6800853105838,1.8362321
37,1233.0045321247667,2.7350736
38,1266.3289789389496,2.915129
39,1299.6534257531325,2.460144
40,1332.9778725673154,2.3092656
41,1366.3023193814984,2.5996685
42,1399.626766195681,1.959059
43,1432.951213009864,1.6116074
44,1466.275659824047,1.4083511
45,1499.6001066382298,0.8777097
46,1532.9245534524127,1.0376259
47,1566.2490002665954,0.6925852
48,1599.5734470807784,1.1074488
49,1632.8978938949613,1.0118077
50,1666.2223407091442,0.67961264
51,1699.5467875233269,1.314232
52,1732.8712343375098,0.6754762
53,1766.1956811516927,1.5480063
54,1799.5201279658756,1.1083025
55,1832.8445747800586,1.3191587
56,1866.1690215942415,1.0631574
57,1899.4934684084244,0.9332482
58,1932.8179152226073,1.2844744
59,1966.1423620367902,1.8308578
60,1999.4668088509732,1.7400068
61,2032.7912556651556,0.7148424
62,2066.115702479339,1.5245396
63,2099.4401492935217,1.8035187
64,2132.7645961077046,1.2809886
65,2166.089042921887,1.6419456
66,2199.41348973607,1.5046623
67,2232.737936550253,2.1092174
68,2266.062383364436,2.4582279
69,2299.3868301786188,2.1689458
70,2332.7112769928017,2.2834175
71,2366.0357238069846,2.6641345
72,2399.3601706211675,1.5301205
73,2432.6846174353504,0.9156624
74,2466.0090642495334,0.8783951
75,2499.3335110637163,1.1306877
76,2532.657957877899,1.3291181
77,2565.982404692082,1.2726897
78,2599.306851506265,1.244176
79,2632.631298320448,1.2698812
80,2665.955745134631,1.3946381
81,2699.280191948814,1.3733321
82,2732.6046387629967,1.0471863
83,2765.9290855771796,1.0600704
84,2799.253532391362,1.1484033
85,2832.577979205545,0.7061551
86,2865.902426019728,0.7737909
87,2899.226872833911,0.63908976
88,2932.551319648094,0.9912801
89,2965.8757664622767,1.0062007
90,2999.2002132764596,1.2274021
91,3032.5246600906426,1.7959197
92,3065.8491069048255,0.76340574
93,3099.173553719008,0.9327724
94,3132.498000533191,0.8118296
95,3165.822447347374,1.4733183
96,3199.1468941615567,1.3041986
97,3232.4713409757396,1.0340058
98,3265.7957877899225,1.513603
99,3299.1202346041055,1.7222874
100,3332.4446814182884,1.9959389
101,3365.7691282324713,2.152554
102,3399.0935750466538,1.5177792
103,3432.4180218608367,1.4737977
104,3465.7424686750196,1.4982018
105,3499.0669154892025,1.3564496
106,3532.3913623033854,1.4918317
107,3565.7158091175684,0.9374851
108,3599.0402559317513,2.0545447
109,3632.364702745934,1.0269071
110,3665.689149560117,0.9563495
111,3699.0135963743,1.2156162
112,3732.338043188483,1.3831213
113,3765.662490002666,1.737465
114,3798.986936816849,1.6772819
115,3832.3113836310317,1.7199968
116,3865.6358304452147,2.0148222
117,3898.9602772593976,1.8412268
118,3932.2847240735805,1.5732965
119,3965.6091708877634,1.5975803
120,3998.9336177019463,1.580931
121,4032.258064516129,0.8271769
122,4065.5825113303113,1.1785759
123,4098.906958144495,1.4016955
124,4132.231404958678,1.5447092
125,4165.5558517728605,0.9854136
126,4198.880298587043,0.8268627
127,4232.204745401226,0.66721284
128,4265.529192215409,1.1818277
129,4298.853639029592,1.7243248
130,4332.178085843774,1.5933771
131,4365.502532657958,1.4900281
132,4398.82697947214,1.4859883
133,4432.151426286324,1.49097
134,4465.475873100506,1.7627372
135,4498.80031991469,1.1908591
136,4532.124766728872,1.5372956
137,4565.4492135430555,1.2631257
138,4598.7736603572375,1.5840131
139,4632.098107171421,1.2882195
140,4665.422553985603,1.7954816
141,4698.747000799787,0.70929897
142,4732.071447613969,1.3888086
143,4765.395894428153,1.093312
144,4798.720341242335,1.4570618
145,4832.044788056519,0.9699169
146,4865.369234870701,0.92587405
147,4898.693681684885,0.8370577
148,4932.018128499067,1.0593675
149,4965.342575313249,0.9158899
150,4998.667022127433,0.92580307
151,5031.991468941615,0.6420443
152,5065.315915755798,0.6363562
153,5098.64036256998,0.7134849
154,5131.964809384164,0.9436271
155,5165.289256198346,1.0693715
156,5198.61370301253,1.1532447
157,5231.938149826712,0.86827767
158,5265.262596640896,1.0542715
159,5298.587043455078,0.69340754
160,5331.911490269262,1.1948463
161,5365.235937083444,1.3687997
162,5398.560383897628,0.4757518
163,5431.88483071181,0.9698462
164,5465.2092775259935,0.6387227
165,5498.5337243401755,0.67204463
166,5531.858171154359,1.0000383
167,5565.182617968541,1.0317965
168,5598.507064782724,1.2564644
169,5631.831511596907,1.2317381
170,5665.15595841109,1.343879
171,5698.480405225273,0.9793205
172,5731.804852039456,1.10755
173,5765.129298853639,1.3389533
174,5798.453745667822,1.3353345
175,5831.778192482005,2.25202
176,5865.102639296188,1.6639231
177,5898.4270861103705,1.6196539
178,5931.751532924553,2.6852226
179,5965.075979738736,4.279465
180,5998.400426552919,5.276624
181,6031.724873367102,1.8488086
182,6065.049320181285,10.091254
183,6098.373766995468,8.355305
184,6131.698213809651,8.283741
185,6165.022660623834,2.7021115
186,6198.347107438016,1.5198188
187,6231.671554252199,1.2939082
188,6264.996001066382,0.9760482
189,6298.320447880565,1.3693372
190,6331.644894694748,3.10875
191,6364.9693415089305,2.6828687
192,6398.293788323113,5.6110396
193,6431.618235137296,10.617828
194,6464.942681951479,16.739923
195,6498.267128765662,20.766846
196,6531.591575579845,1.5356433
197,6564.916022394028,1.8417679
198,6598.240469208211,1.3799016
199,6631.564916022394,0.78212285
200,6664.889362836577,3.1344914
201,6698.21380965076,5.607958
202,6731.538256464943,1.7051421
203,6764.8627032791255,9.126105
204,6798.1871500933075,8.079525
205,6831.511596907491,8.007799
206,6864.836043721673,3.0934496
207,6898.160490535857,2.0093684
208,6931.484937350039,1.6879551
209,6964.809384164223,2.8461769
210,6998.133830978405,6.605092
211,7031.458277792589,10.291065
212,7064.782724606771,2.4614646
213,7098.107171420955,12.80322
214,7131.431618235137,7.3423357
215,7164.756065049321,7.4087267
216,7198.080511863503,2.5454714
217,7231.404958677686,2.2755144
218,7264.729405491868,1.7620331
219,7298.053852306052,2.7550068
220,7331.378299120234,3.1479392
221,7364.702745934418,15.162064
222,7398.0271927486,39.540615
223,7431.351639562782,12.632598
224,7464.676086376966,9.984057
225,7498.000533191148,5.348872
226,7531.324980005332,1.651849
227,7564.649426819514,1.4698738
228,7597.973873633698,1.0782146
229,7631.29832044788,1.8789428
230,7664.6227672620635,5.519976
231,7697.9472140762455,1.6057107
232,7731.271660890429,26.060524
233,7764.596107704611,27.497034
234,7797.920554518795,9.491491
235,7831.245001332977,3.7010598
236,7864.569448147161,1.8996441
237,7897.893894961343,3.0465827
238,7931.218341775527,1.8721335
